title,link,content_excerpt,direct_classification,direct_reason,direct_confidence,indirect_classification,indirect_reason,indirect_confidence,final_label,final_reason
2찍이고 4찍이고 다 숙청 들어가야지,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439836&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '2찍', '4찍'이라는 표현을 사용하여 특정 정치적 성향을 가진 사람들을 지칭하고, '숙청'이라는 단어를 사용하여 이들을 부정적으로 묘사하며 공격적인 의도를 내포하고 있습니다. 이는 특정 집단에 대한 악의적인 조롱 및 희화화로 해석될 수 있습니다.",0.90,간접 비방,"2차 확정: 제목에서 '2찍', '4찍'이라는 표현을 사용하여 특정 정치적 성향을 가진 사람들을 지칭하고, '숙청'이라는 단어를 사용하여 이들을 부정적으로 묘사하며 공격적인 의도를 내포하고 있습니다. 이는 특정 집단에 대한 악의적인 조롱 및 희화화로 해석될 수 있습니다."
응 씨발 문재앙도 버텼어 ㅋㅋㅋ 그래서 니들이 뭘할수있는데?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439834&page=3,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 '씨발'이라는 욕설이 사용됨,0.99,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '씨발'이라는 욕설이 사용됨
나 이대남 인데 요즘 이대남들 보면,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439835&page=3,본문 내용을 찾을 수 없습니다....,일반글,본문 내용이 없어 직접적인 욕설 단어 사용 여부를 판단할 수 없음,1.00,일반글,본문 내용이 없어 판단 불가,0.50,일반글,직접 욕설 및 간접 비방 모두 아님
문수 말고 다른 사람 나왔으면 압승했을듯,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439833&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '문수'라는 특정 인물을 지칭하며, 다른 사람이 나왔으면 '압승'했을 것이라는 표현을 사용하여 해당 인물의 능력이나 자질에 대한 부정적인 평가를 간접적으로 드러내고 있다. 이는 해당 인물에 대한 조롱이나 비방으로 해석될 수 있다.",0.80,간접 비방,"2차 확정: 제목에서 '문수'라는 특정 인물을 지칭하며, 다른 사람이 나왔으면 '압승'했을 것이라는 표현을 사용하여 해당 인물의 능력이나 자질에 대한 부정적인 평가를 간접적으로 드러내고 있다. 이는 해당 인물에 대한 조롱이나 비방으로 해석될 수 있다."
황재명 역대최다 득표 달성,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439832&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
지금 시간부로 야갤을 패쇄조치하겠습니다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439831&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
서울 개표 결과 ㄷㄷㄷ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439830&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
야갤 6070갤이었노 ㅋㅌㅌ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439829&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
2대남들이 1찍하는건 딴거 없는듯,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439828&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
국힘은 그냥 작은 북한임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439827&page=3,본문 내용을 찾을 수 없습니다....,일반글,제목에 직접적인 욕설은 포함되어 있지 않음,1.00,간접 비방,국민의힘을 '작은 북한'에 비유하여 악의적으로 조롱하고 희화화하려는 의도가 있다고 판단됨.,0.90,간접 비방,2차 확정: 국민의힘을 '작은 북한'에 비유하여 악의적으로 조롱하고 희화화하려는 의도가 있다고 판단됨.
이 아이 이준석 닮았으믄 개추 아니면 반대비추 ㅋㅋㅋㅎㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439826&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"특정 아이의 외모를 정치인 이준석에 빗대어 폄하하고 있으며, '개추/반대비추' 표현을 통해 외모에 대한 조롱 및 희화화를 유도하고 있다.",0.90,간접 비방,"2차 확정: 특정 아이의 외모를 정치인 이준석에 빗대어 폄하하고 있으며, '개추/반대비추' 표현을 통해 외모에 대한 조롱 및 희화화를 유도하고 있다."
틀구이들 이재명 표심으로 까지도 못해서 홧병으로 사망 중ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439825&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '틀구이'라는 표현으로 특정 연령대를 비하하고, '이재명 표심으로 까지도 못해서 홧병으로 사망 중'이라는 문구로 조롱하고 있어, 특정 대상을 공격/조롱하려는 의도가 있다고 판단됨.",0.90,간접 비방,"2차 확정: 제목에서 '틀구이'라는 표현으로 특정 연령대를 비하하고, '이재명 표심으로 까지도 못해서 홧병으로 사망 중'이라는 문구로 조롱하고 있어, 특정 대상을 공격/조롱하려는 의도가 있다고 판단됨."
목소리 낼거면 적어도 10%는 넘기든가,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439824&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '10%는 넘기든가'라는 표현은 특정 대상을 지지율이나 득표율과 연관지어, 그 미달성 사실을 강조하며 조롱하거나 무능함을 비꼬는 의도로 해석될 수 있습니다.",0.80,간접 비방,"2차 확정: 제목에서 '10%는 넘기든가'라는 표현은 특정 대상을 지지율이나 득표율과 연관지어, 그 미달성 사실을 강조하며 조롱하거나 무능함을 비꼬는 의도로 해석될 수 있습니다."
두창이가 이대남 통수 거하게 치긴했어,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439823&page=3,본문 내용을 찾을 수 없습니다....,일반글,"제목에 '두창이'라는 표현이 있지만, 이는 직접적인 욕설로 보기 어렵습니다. 따라서 직접적인 욕설은 사용되지 않았습니다.",0.95,간접 비방,"제목에서 '두창이'라는 표현은 대통령을 비하하는 은어이며, '이대남 통수'라는 표현은 특정 세대를 언급하며 부정적인 상황을 묘사하여 조롱/희화화 의도가 있다고 판단됨.",0.90,간접 비방,"2차 확정: 제목에서 '두창이'라는 표현은 대통령을 비하하는 은어이며, '이대남 통수'라는 표현은 특정 세대를 언급하며 부정적인 상황을 묘사하여 조롱/희화화 의도가 있다고 판단됨."
이거 요거거 각자가 뭐라고 카는지 맞추면 상품준다아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439822&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,일반글,본문 내용이 없어 판단 불가,0.50,일반글,직접 욕설 및 간접 비방 모두 아님
대선할때 북한새끼들 쥐죽은듯있는거 ㄹㅇ ㅈ패고싶노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439821&page=3,본문 내용을 찾을 수 없습니다....,욕설 사용,"제목에 '새끼', 'ㅈ' 사용",0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,"1차 확정: 제목에 '새끼', 'ㅈ' 사용"
난 좆대남들이 4050 개꿀세대라하는걸 이해못하겠음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439820&page=3,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 '좆'이라는 욕설이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '좆'이라는 욕설이 사용됨
이대남들이 5060세대 배급견이라고 욕하는건 용납이 안가네?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439819&page=3,본문 내용을 찾을 수 없습니다....,일반글,"제목에 '욕'이라는 단어가 있지만, 직접적인 욕설은 사용되지 않았습니다.",0.95,일반글,본문 내용이 없어 특정 대상을 공격/조롱/명예훼손하려는 의도가 있는지 판단할 수 없음.,0.50,일반글,직접 욕설 및 간접 비방 모두 아님
윤석열 이제 어떻게되냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439818&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이대남들은 이 상황에도 국힘을 패고 있노ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439817&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
4050이 병1신인건,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439816&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이준석 보수재건 아가리 터는거보면 국힘들어가노 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439815&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
2찍 < 이새끼들만 기었으면 이재명 막았음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439814&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,간접 비방,"제목에서 '2찍'이라는 표현을 사용하여 특정 정치 성향을 가진 사람들을 비하하고 있으며, 특정 인물을 막지 못했다는 책임을 전가하며 조롱하고 있다.",0.90,간접 비방,"2차 확정: 제목에서 '2찍'이라는 표현을 사용하여 특정 정치 성향을 가진 사람들을 비하하고 있으며, 특정 인물을 막지 못했다는 책임을 전가하며 조롱하고 있다."
그래그래 이대남들아,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439813&page=3,본문 내용을 찾을 수 없습니다....,일반글,제목과 내용에 직접적인 욕설이 없습니다.,1.00,간접 비방,"제목에서 특정 성별/연령대(이대남)을 지칭하며, 내용이 없어 맥락을 알 수 없지만, 제목 자체만으로도 해당 집단을 조롱하거나 비하하려는 의도로 해석될 수 있음. '그래그래'라는 표현은 동의나 긍정의 의미보다는 비꼬는 듯한 뉘앙스를 풍길 수 있다.",0.80,간접 비방,"2차 확정: 제목에서 특정 성별/연령대(이대남)을 지칭하며, 내용이 없어 맥락을 알 수 없지만, 제목 자체만으로도 해당 집단을 조롱하거나 비하하려는 의도로 해석될 수 있음. '그래그래'라는 표현은 동의나 긍정의 의미보다는 비꼬는 듯한 뉘앙스를 풍길 수 있다."
이제 음주운전 연예인 다 특별사면임?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439812&page=3,본문 내용을 찾을 수 없습니다....,일반글,"본문 내용이 없어 직접적인 욕설 사용 여부를 판단할 수 없으나, 제목만으로는 직접적인 욕설이 확인되지 않음",0.95,간접 비방,"음주운전 연예인에 대한 특별사면 가능성을 제기하며, 특정 연예인 또는 연예인 집단을 비판하거나 조롱하려는 의도로 해석될 수 있음. '이제 다 특별사면임?'이라는 표현은 과거 음주운전으로 물의를 일으킨 연예인에 대한 부정적 여론을 환기시키고, 이들을 비꼬는 뉘앙스를 풍김.",0.85,간접 비방,"2차 확정: 음주운전 연예인에 대한 특별사면 가능성을 제기하며, 특정 연예인 또는 연예인 집단을 비판하거나 조롱하려는 의도로 해석될 수 있음. '이제 다 특별사면임?'이라는 표현은 과거 음주운전으로 물의를 일으킨 연예인에 대한 부정적 여론을 환기시키고, 이들을 비꼬는 뉘앙스를 풍김."
내가 찼지만 개새끼는 너랑께~,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439811&page=3,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 '개새끼'라는 직접적인 욕설이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '개새끼'라는 직접적인 욕설이 사용됨
투표범죄 쟤는 1찍이임?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439810&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '투표범죄'라는 용어를 사용하고, 특정 대상을 '1찍이'로 지칭하며 연관시키려는 시도는, 특정 정치 성향을 가진 사람을 범죄와 연결시켜 조롱하려는 의도로 해석될 수 있습니다.",0.85,간접 비방,"2차 확정: 제목에서 '투표범죄'라는 용어를 사용하고, 특정 대상을 '1찍이'로 지칭하며 연관시키려는 시도는, 특정 정치 성향을 가진 사람을 범죄와 연결시켜 조롱하려는 의도로 해석될 수 있습니다."
이시각 전한길...,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439809&page=3,본문 내용을 찾을 수 없습니다....,일반글,본문 내용이 없어 직접적인 욕설 단어 사용 여부를 판단할 수 없음,0.90,일반글,본문 내용이 없어 특정 대상을 공격/조롱/명예훼손하려는 의도를 판단할 수 없음.,0.50,일반글,직접 욕설 및 간접 비방 모두 아님
결국 국민은 내란을 심판했다 !!!!!!!!!!!!!!!!!!!!!!!!,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439808&page=3,본문 내용을 찾을 수 없습니다....,일반글,제목에 직접적인 욕설은 없습니다.,1.00,간접 비방,"제목에서 '국민은 내란을 심판했다'라는 표현은 특정 정치적 사건이나 인물을 '내란'에 빗대어 비판하고 조롱하려는 의도로 해석될 수 있습니다. 내용이 없어 맥락을 정확히 파악하기는 어렵지만, 제목 자체만으로도 특정 대상을 공격하려는 의도가 있다고 판단됩니다.",0.80,간접 비방,"2차 확정: 제목에서 '국민은 내란을 심판했다'라는 표현은 특정 정치적 사건이나 인물을 '내란'에 빗대어 비판하고 조롱하려는 의도로 해석될 수 있습니다. 내용이 없어 맥락을 정확히 파악하기는 어렵지만, 제목 자체만으로도 특정 대상을 공격하려는 의도가 있다고 판단됩니다."
내년 지방선거때 힘내보자 아자아자,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439807&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,일반글,본문 내용이 없어 간접 비방 여부를 판단할 수 없습니다. 제목만으로는 특정 대상을 공격/조롱/명예훼손하려는 의도를 파악하기 어렵습니다.,0.10,일반글,직접 욕설 및 간접 비방 모두 아님
국힘 지지자인 내 기준에 선방임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439806&page=3,본문 내용을 찾을 수 없습니다....,일반글,제목과 내용에 직접적인 욕설이 없습니다.,1.00,일반글,본문 내용이 없어 판단 불가. 제목만으로는 특정 대상을 공격/조롱/명예훼손하려는 의도를 파악하기 어렵다.,0.50,일반글,직접 욕설 및 간접 비방 모두 아님
2찍들이 화가 많이 났네... 아직도 독을 뿜노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439804&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
"백신부작용, 부정선거 믿는 새끼들은 그냥 조현병 환자라고 보면 됨.",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439803&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
국힘이 말하는 이대남 정책,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439802&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
팩트체크) 이준석이 단일화를 안해줘서 국힘이 졌다?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439801&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
틀구이들 끝까지 물타기하네 애초에 범진보표>범보수표인데 ㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439800&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '틀구이'라는 표현을 사용하여 특정 연령대 또는 정치 성향의 사람들을 비하하고 조롱하고 있습니다. 이는 직접적인 욕설은 아니지만, 특정 대상을 폄하하려는 의도가 담긴 표현입니다.",0.90,간접 비방,"2차 확정: 제목에서 '틀구이'라는 표현을 사용하여 특정 연령대 또는 정치 성향의 사람들을 비하하고 조롱하고 있습니다. 이는 직접적인 욕설은 아니지만, 특정 대상을 폄하하려는 의도가 담긴 표현입니다."
틀딱들이 뭘 착각하는데 이대남은 누가 뽑히든 좆도 알빠 아님,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439799&page=3,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 '좆'이 직접적인 욕설로 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '좆'이 직접적인 욕설로 사용됨
얘네 인생 망한거같은데ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439798&page=3,본문 내용을 찾을 수 없습니다....,일반글,"제목에 욕설이 없고, 본문 내용이 없어 직접적인 욕설 사용 여부를 판단할 수 없음",0.90,간접 비방,"제목에서 '얘네 인생 망한거같은데ㅋㅋ'라는 표현은 특정 대상을 지칭하며, 그들의 인생을 부정적으로 평가하고 조롱하는 의도를 내포하고 있다고 판단될 수 있습니다. 비록 본문 내용이 없어 구체적인 대상을 특정하기는 어렵지만, 제목 자체만으로도 특정 집단이나 개인에 대한 간접적인 비방으로 해석될 여지가 있습니다.",0.80,간접 비방,"2차 확정: 제목에서 '얘네 인생 망한거같은데ㅋㅋ'라는 표현은 특정 대상을 지칭하며, 그들의 인생을 부정적으로 평가하고 조롱하는 의도를 내포하고 있다고 판단될 수 있습니다. 비록 본문 내용이 없어 구체적인 대상을 특정하기는 어렵지만, 제목 자체만으로도 특정 집단이나 개인에 대한 간접적인 비방으로 해석될 여지가 있습니다."
라인할 야순이 있나,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439797&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,0.95,간접 비방,"제목에서 '야순이'라는 표현은 여성을 성적으로 대상화하는 은어이며, 라인(메신저)을 통해 여성을 찾는 행위 자체가 여성을 비하하고 성적 대상으로 취급하는 의도를 내포한다고 판단됩니다.",0.90,간접 비방,"2차 확정: 제목에서 '야순이'라는 표현은 여성을 성적으로 대상화하는 은어이며, 라인(메신저)을 통해 여성을 찾는 행위 자체가 여성을 비하하고 성적 대상으로 취급하는 의도를 내포한다고 판단됩니다."
이대남 = 다른 세대들이 본인들 피 빨아먹는다고 주장중..,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439796&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 특정 세대(이대남)를 지칭하며, 다른 세대와의 갈등 구도를 설정하고, '피 빨아먹는다'는 표현을 사용하여 부정적인 이미지를 암시적으로 부여하고 있다. 이는 특정 세대에 대한 악의적인 조롱으로 해석될 수 있다.",0.80,간접 비방,"2차 확정: 제목에서 특정 세대(이대남)를 지칭하며, 다른 세대와의 갈등 구도를 설정하고, '피 빨아먹는다'는 표현을 사용하여 부정적인 이미지를 암시적으로 부여하고 있다. 이는 특정 세대에 대한 악의적인 조롱으로 해석될 수 있다."
이대남은 투표도안하는데 당연한 권리도 박탈해야함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439795&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"특정 성별 집단(이대남)을 명시하며, 투표 불참을 이유로 '당연한 권리 박탈'을 주장하는 것은 해당 집단에 대한 부정적 고정관념을 강화하고 잠재적으로 조롱/비난하는 의도로 해석될 수 있음",0.85,간접 비방,"2차 확정: 특정 성별 집단(이대남)을 명시하며, 투표 불참을 이유로 '당연한 권리 박탈'을 주장하는 것은 해당 집단에 대한 부정적 고정관념을 강화하고 잠재적으로 조롱/비난하는 의도로 해석될 수 있음"
이재명 53 김문수 33 이준석 13 원했던 페미들은 개추 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439794&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,특정 정치인 지지율 언급 후 '원했던 페미들은 개추' 표현은 특정 정치 성향 지지자를 조롱하고 희화화하려는 의도로 해석될 수 있음,0.90,간접 비방,2차 확정: 특정 정치인 지지율 언급 후 '원했던 페미들은 개추' 표현은 특정 정치 성향 지지자를 조롱하고 희화화하려는 의도로 해석될 수 있음
이준석 정치생명 끝이네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439793&page=3,본문 내용을 찾을 수 없습니다....,일반글,제목과 내용에 직접적인 욕설이 없습니다.,1.00,간접 비방,"제목에서 특정 인물의 정치적 생명이 끝났다고 단정적으로 표현하며, 이는 해당 인물에 대한 부정적 평가를 내포하고, 간접적으로 조롱하려는 의도로 해석될 수 있음",0.80,간접 비방,"2차 확정: 제목에서 특정 인물의 정치적 생명이 끝났다고 단정적으로 표현하며, 이는 해당 인물에 대한 부정적 평가를 내포하고, 간접적으로 조롱하려는 의도로 해석될 수 있음"
원래 이재명이 일은 ㅈㄴ 열심히함,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439792&page=3,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 'ㅈㄴ'이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 'ㅈㄴ'이 사용됨
막말로 이대녀도 이대남보단 살기 좀더 나을뿐 나라미래,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439791&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
근데 표보면 단일화해도 근소하게 졌을듯,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439790&page=3,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이대남들은 순수하게 자기 밥줄 찾아간거임 ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439789&page=3,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
2찍이 챙겨준거ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439787&page=4,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
국힘은 윤석열이 다시 나왔어도 40%임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439786&page=4,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '국힘은 윤석열이 다시 나왔어도 40%임'이라고 언급하며, 특정 정당 지지율이 특정 인물의 재출마 여부와 상관없이 고정되어 있다는 점을 강조하여 해당 정당을 비판적으로 조롱하고 있다. 이는 지지층의 맹목성을 암시하거나, 정치적 판단 능력에 대한 의문을 제기하는 것으로 해석될 수 있다.",0.85,간접 비방,"2차 확정: 제목에서 '국힘은 윤석열이 다시 나왔어도 40%임'이라고 언급하며, 특정 정당 지지율이 특정 인물의 재출마 여부와 상관없이 고정되어 있다는 점을 강조하여 해당 정당을 비판적으로 조롱하고 있다. 이는 지지층의 맹목성을 암시하거나, 정치적 판단 능력에 대한 의문을 제기하는 것으로 해석될 수 있다."
윤석열이 여가부만 폐지했어도 2대남 몰표였음ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439785&page=4,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"특정 정치인(윤석열)에 대한 지지 기반을 언급하며, 특정 정책(여가부 폐지)에 대한 조롱 섞인 비판이 담겨있음. 2대남 몰표라는 표현으로 지지층을 희화화하고 정책의 실효성을 낮춰보려는 의도가 엿보임.",0.80,간접 비방,"2차 확정: 특정 정치인(윤석열)에 대한 지지 기반을 언급하며, 특정 정책(여가부 폐지)에 대한 조롱 섞인 비판이 담겨있음. 2대남 몰표라는 표현으로 지지층을 희화화하고 정책의 실효성을 낮춰보려는 의도가 엿보임."
윤두창 진실,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439784&page=4,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '윤두창'이라는 표현을 사용했는데, 이는 윤석열 대통령을 비하하는 은어입니다. 따라서 특정 대상을 공격/조롱하려는 의도가 있다고 판단됩니다.",0.90,간접 비방,"2차 확정: 제목에서 '윤두창'이라는 표현을 사용했는데, 이는 윤석열 대통령을 비하하는 은어입니다. 따라서 특정 대상을 공격/조롱하려는 의도가 있다고 판단됩니다."
